Unnamed: 0,username,bio,profile_url,location,website
3260,csiro,We ♥ science. We're Australia's national science agency. We solve the greatest challenges through innovative science and technology. RTs not endorsements.,https://twitter.com/CSIRO,,csiro.au
3261,tamieuscongress,"The Democrat unseating Jim Jordan. Mom, Sm Biz Owner, former Marine spouse. Fighting for equality, women, education, workers, families to cut taxes & economy",https://twitter.com/TamieUSCongress,,secure.actblue.com/donate/tamiewi…
3262,timberners_lee,"Director of W3C (https://t.co/uyt4YeYD5u), the Web standards place.  Founded https://t.co/kq0t1e4pVj - let web serve humanity. CTO https://t.co/vsUasPsY5r to develop https://t.co/iPoqAldF1M",https://twitter.com/timberners_lee,,
3263,repdebhaaland,"She/Her, Former #NM CD1 Rep., One of the 1st Native American women in Congress. Laguna Pueblo. Single mom. Marathon runner. Follow @SecDebHaaland for updates",https://twitter.com/RepDebHaaland,,haaland.house.gov
3264,brandonsmithceo,R.I.P Little Richard The King of Rock & Roll 👑🙏🏽✊🏽,https://twitter.com/BrandonSmithCEO,,cameo.com/brandonsmithceo
3265,rangerjavelin,"CTO Meta Djinn
CTO @fightoftheages 
Linkedin: https://t.co/HghFsL6vKI 
#FOTA #Metaverse #MicrosoftMesh #AAAGame #BSC",https://twitter.com/RangerJavelin,,fota.io
3266,championstour,Official home of #WhereLegendsPlay,https://twitter.com/ChampionsTour,,championstour.com
3267,kazhiraiceo,"I’m Retired! Reeee-tired!! Senior Advisor and Saviour of SONY, former CEO and Chairman. Ridge Racer Brand Ambassador. PARODY ACCOUNT.",https://twitter.com/KazHiraiCEO,,
3268,williamsmkenya,"For love of 5th President Ruto William of Kenya @WilliamsRuto🇰🇪

Nabii Doyen FansHQ Kenya Kwanza 

Tweets≠Endorsement

DM: promke254@gmail

^пароди/commentary",https://twitter.com/WilliamsMkenya,,
3269,senblumenthal,"Official Twitter account of U.S. Senator Richard Blumenthal, proudly working for the people of Connecticut.",https://twitter.com/SenBlumenthal,,blumenthal.senate.gov
3270,ubasanius,"Senator, representing Kaduna Central Senatorial District. Kaduna State APC Governorship Candidate, 2023. Consolidation & Continuity",https://twitter.com/ubasanius,,ubasani.org
3271,dimitrivorbe,Vice-President Sogener @sogenerhaiti Président Velas Hispaniola @velashispaniola Poker Player Husband and Father of 3,https://twitter.com/dimitrivorbe,,facebook.com/vorbedimitri
3272,antonioarellano,"Orgullosamente Latino. Vice president of communications, @NextGenAmerica",https://twitter.com/AntonioArellano,,antonioarellano.com
3273,jechalmers,"Treasurer of Australia, Labor MP for Rankin, proudly Logan, QLD born & bred.",https://twitter.com/JEChalmers,,jimchalmers.org
3274,sunil_deodhar,"National Secretary, BJP.  Co-Incharge - Andhra Pradesh.",https://twitter.com/Sunil_Deodhar,,bjp.org
